id,gender,height,skin_complexion,body_type,hair_size,education,career,religion,description,interests,match
1,Female,Average,Dark,Heavy,Long,PhD,Scientist,Hindu,Description 1,Movies:Nature:Cooking:Adventure,1
2,Female,Average,Chocolate,Average,Long,Phd,Engineer,Christian,Description 2,Others:Adventure:Hiking:Nature:Art,1
3,Male,Average,Chocolate,Average,Long,PhD,Artist,Hindu,Description 3,Hiking:Music:Adventure,0
4,Male,Average,Light,Heavy,Long,Master,Engineer,Does not matter,Description 4,Movies:Hiking:Music:Others:Cooking,1
5,Female,Short,Chocolate,Heavy,Medium,Master,Legal Person,Hindu,Description 5,Music:Dancing:Others,0
6,Male,Average,Chocolate,Skinny,Short,PhD,Does not matter,Muslim,Description 6,Nature:Cooking,1
7,Male,Tall,Dark,Average,Short,PhD,Entrepreneur,Christian,Description 7,Nature:Cooking,0
8,Female,Average,Chocolate,Slim,Short,Degree,Does not matter,Christian,Description 8,Adventure:Art:Nature:Cooking:Music,1
9,Male,Short,Light,Athletic,Medium,Phd,Scientist,Hindu,Description 9,Cooking,1
10,Male,Short,Dark,Average,Medium,Diploma,Scientist,Christian,Description 10,Cooking:Dancing,0
11,Male,Tall,Chocolate,Athletic,Long,Any will do,Does not matter,Hindu,Description 11,Hiking:Others:Art:Movies:Adventure,0
12,Female,Average,Light,Skinny,Medium,Phd,Sports Person,Christian,Description 12,Adventure:Cooking:Others:Art,0
13,Female,Average,Chocolate,Heavy,Long,Certificate,Leadership,Muslim,Description 13,Movies:Others:Dancing,1
14,Female,Average,Light,Hippy,Long,Master,Entrepreneur,Muslim,Description 14,Movies:Adventure,1
15,Male,Tall,Dark,Slim,Long,Certificate,Legal Person,Muslim,Description 15,Movies:Nature:Cooking:Music,1
16,Female,Average,Dark,Heavy,Medium,Diploma,Artist,Muslim,Description 16,Others:Nature,1
17,Female,Short,Dark,Slim,Medium,Master,Sports Person,Does not matter,Description 17,Adventure:Art:Music,0
18,Female,Average,Chocolate,Average,Medium,Any will do,Sports Person,Christian,Description 18,Nature:Others:Art,1
19,Male,Average,Dark,Slim,Medium,Diploma,Mathematician,Hindu,Description 19,Hiking:Dancing:Nature:Adventure,1
20,Female,Tall,Dark,Skinny,Medium,Master,Mathematician,Does not matter,Description 20,Movies:Dancing:Nature:Art,0
21,Female,Tall,Dark,Athletic,Medium,Phd,Entrepreneur,Hindu,Description 21,Music:Art:Cooking:Dancing:Adventure,1
22,Female,Average,Chocolate,Hippy,Medium,Master,Does not matter,Buddhist,Description 22,Nature:Cooking:Music,1
23,Male,Tall,Chocolate,Average,Long,Degree,Sports Person,Does not matter,Description 23,Adventure,1
24,Female,Tall,Light,Hippy,Medium,Master,Engineer,Hindu,Description 24,Others:Movies:Nature:Cooking,0
25,Male,Average,Light,Slim,Short,Any will do,Legal Person,Hindu,Description 25,Art:Others:Music:Hiking:Nature,1
26,Female,Average,Dark,Average,Long,Certificate,Artist,Christian,Description 26,Nature:Music:Cooking,1
27,Male,Average,Chocolate,Skinny,Long,PhD,Sports Person,Does not matter,Description 27,Dancing:Hiking:Art:Adventure,0
28,Female,Short,Dark,Athletic,Short,PhD,Mathematician,Buddhist,Description 28,Movies:Hiking,0
29,Female,Average,Chocolate,Heavy,Long,PhD,Scientist,Does not matter,Description 29,Dancing:Others,1
30,Female,Tall,Dark,Heavy,Long,Degree,Does not matter,Hindu,Description 30,Hiking:Others,0
